"Feature_ID","BIOCHEMICAL","name","Metabolite","H_SUPER_PATHWAY","H_SUB_PATHWAY","H_COMP_IDstr","KEGG","H_HMDB","H_MetabolonID"
"Metab180","N-alpha-acetylornithine","N-alpha-acetylornithine","N-alpha-acetylornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",32984,"C00437","HMDB03357","M32984"
"Metab181","N2,N5-diacetylornithine","N2,N5-diacetylornithine","N2,N5-diacetylornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",43591,NA,NA,"M43591"
"Metab182","hydroxyproline","hydroxyproline","3-hydroxyproline",NA,NA,38635,"C05147","HMDB02113","M38635"
"Metab183","prolylhydroxyproline","prolylhydroxyproline","pro-hydroxy-pro","Amino Acid","Urea cycle; Arginine and Proline Metabolism",35127,NA,"HMDB06695","M35127"
"Metab184","N-methylproline","N-methylproline","N-methylproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",37431,NA,"HMDB0094696","M37431"
"Metab185","N,N,N-trimethyl-alanylproline betaine (TMAP)","N,N,N-trimethyl-alanylproline betaine (TMAP)","N,N,N-trimethyl-alanylproline betaine (TMAP)","Amino Acid","Urea cycle; Arginine and Proline Metabolism",62947,NA,NA,"M62947"
"Metab186","N-monomethylarginine","N-monomethylarginine","N-monomethylarginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",43586,"C03884","HMDB29416","M43586"
"Metab187","argininate*","argininate*","argininate","Amino Acid","Urea cycle; Arginine and Proline Metabolism",57461,NA,"HMDB03148","M57461"
"Metab188","guanidinoacetate","guanidinoacetate","guanidinoacetate","Amino Acid","Creatine Metabolism",43802,"C00581","HMDB00128","M43802"
"Metab189","creatine","creatine","creatine","Amino Acid","Creatine Metabolism",27718,"C00300","HMDB00064","M27718"
"Metab190","creatinine","creatinine","creatinine","Amino acid","Creatine Metabolism",513,"C00791","HMDB00562","M513"
"Metab191","creatine phosphate","creatine phosphate","creatine phosphate","Amino Acid","Creatine Metabolism",33951,"C02305","HMDB01511","M33951"
"Metab192","putrescine","putrescine","putrescine","Amino acid","Polyamine metabolism",1408,"C00134","HMDB01414","M1408"
"Metab193","N-acetylputrescine","N-acetylputrescine","N-acetylputrescine","Amino Acid","Polyamine Metabolism",37496,"C02714","HMDB02064","M37496"
"Metab194","N-acetyl-isoputreanine","N-acetyl-isoputreanine","N-acetyl-isoputreanine","Amino Acid","Polyamine Metabolism",62309,NA,NA,"M62309"
"Metab195","spermidine","spermidine","spermidine","Amino Acid","Polyamine Metabolism",485,"C00315","HMDB01257","M485"
"Metab197","(N(1) + N(8))-acetylspermidine","(N(1) + N(8))-acetylspermidine","(N(1) + N(8))-acetylspermidine","Amino Acid","Polyamine Metabolism",57814,"C00612","HMDB0001276","M57814"
"Metab198","acisoga","acisoga","acisoga","Amino Acid","Polyamine Metabolism",43258,NA,NA,"M43258"
"Metab199","spermine","spermine","spermine","Amino Acid","Polyamine Metabolism",603,"C00750","HMDB01256","M603"
"Metab202","5-methylthioadenosine (MTA)","5-methylthioadenosine (MTA)","5-methylthioadenosine (MTA)","Amino acid","Polyamine metabolism",1419,"C00170","HMDB01173","M1419"
"Metab203","4-acetamidobutanoate","4-acetamidobutanoate","4-acetamidobutanoate","Amino acid","Guanidino and Acetamido Metabolism",1558,"C02946","HMDB03681","M1558"
"Metab204","4-guanidinobutanoate","4-guanidinobutanoate","4-guanidinobutanoate","Amino Acid","Guanidino and Acetamido Metabolism",15681,"C01035","HMDB03464","M15681"
"Metab206","glutathione, reduced (GSH)","glutathione, reduced (GSH)","glutathione, reduced (GSH)","Amino acid","Glutathione Metabolism",2127,"C00051","HMDB00125","M2127"
"Metab207","glutathione, oxidized (GSSG)","glutathione, oxidized (GSSG)","glutathione, oxidized (GSSG)","Amino acid","Glutathione Metabolism",27727,"C00127","HMDB03337","M27727"
"Metab208","cysteine-glutathione disulfide","cysteine-glutathione disulfide","cysteine-glutathione disulfide","Amino acid","Glutathione Metabolism",35159,"R00900","HMDB00656","M35159"
"Metab211","cysteinylglycine","cysteinylglycine","cysteinylglycine","Peptide","Dipeptide",35637,"C01419","HMDB00078","M35637"
"Metab212","cysteinylglycine disulfide*","cysteinylglycine disulfide*","cysteinylglycine disulfide","Amino Acid","Glutathione Metabolism",62103,NA,"HMDB00709","M62103"
"Metab213","5-oxoproline","5-oxoproline","5-oxoproline","Amino acid","Glutathione Metabolism",1494,"C01879","HMDB00267","M1494"
"Metab214","2-hydroxybutyrate/2-hydroxyisobutyrate","2-hydroxybutyrate/2-hydroxyisobutyrate","2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acid","Glutathione Metabolism",52281,"C21297","HMDB0000729","M52281"
"Metab215","ophthalmate","ophthalmate","ophthalmate","Amino acid","Glutathione Metabolism",34592,NA,"HMDB05765","M34592"
"Metab219","CoA-glutathione*","CoA-glutathione*","CoA-glutathione","Amino Acid","Glutathione Metabolism",62804,"C00920",NA,"M62804"
"Metab220","gamma-glutamylalanine","gamma-glutamylalanine","gamma-glutamylalanine","Peptide","gamma-glutamyl",37063,"C03738","HMDB0029142","M37063"
"Metab221","gamma-glutamylcysteine","gamma-glutamylcysteine","gamma-glutamylcysteine","Peptide","Gamma-glutamyl Amino Acid",1778,"C00669","HMDB01049","M1778"
"Metab222","gamma-glutamylglutamate","gamma-glutamylglutamate","gamma-glutamylglutamate","Peptide","Gamma-glutamyl Amino Acid",36738,"C05282","HMDB11737","M36738"
"Metab223","gamma-glutamylglutamine","gamma-glutamylglutamine","gamma-glutamylglutamine","Peptide","Gamma-glutamyl Amino Acid",2730,"C05283","HMDB11738","M2730"
"Metab224","gamma-glutamylglycine","gamma-glutamylglycine","gamma-glutamylglycine","Peptide","Gamma-glutamyl Amino Acid",33949,NA,"HMDB11667","M33949"
"Metab225","gamma-glutamylhistidine","gamma-glutamylhistidine","gamma-glutamylhistidine","Peptide","Gamma-glutamyl Amino Acid",18245,NA,NA,"M18245"
"Metab226","gamma-glutamylisoleucine*","gamma-glutamylisoleucine*","gamma-glutamylisoleucine","Peptide","gamma-glutamyl",34456,NA,"HMDB11170","M34456"
"Metab227","gamma-glutamylleucine","gamma-glutamylleucine","gamma-glutamylleucine","Peptide","gamma-glutamyl",18369,NA,"HMDB11171","M18369"
"Metab228","gamma-glutamyl-alpha-lysine","gamma-glutamyl-alpha-lysine","gamma-glutamyl-alpha-lysine","Peptide","Gamma-glutamyl Amino Acid",55015,NA,NA,"M55015"
"Metab229","gamma-glutamyl-epsilon-lysine","gamma-glutamyl-epsilon-lysine","gamma-glutamyllysine","Peptide","Gamma-glutamyl Amino Acid",33934,NA,"HMDB03869","M33934"
"Metab230","gamma-glutamylmethionine","gamma-glutamylmethionine","gamma-glutamylmethionine","Peptide","Gamma-glutamyl Amino Acid",44872,NA,"HMDB29155","M44872"
"Metab231","gamma-glutamylphenylalanine","gamma-glutamylphenylalanine","gamma-glutamylphenylalanine","Peptide","Gamma-glutamyl Amino Acid",33422,NA,"HMDB00594","M33422"
"Metab232","gamma-glutamylthreonine","gamma-glutamylthreonine","gamma-glutamylthreonine","Peptide","Gamma-glutamyl Amino Acid",33364,NA,"HMDB29159","M33364"
"Metab233","gamma-glutamyltryptophan","gamma-glutamyltryptophan","gamma-glutamyltryptophan","Peptide","Gamma-glutamyl Amino Acid",33947,NA,"HMDB0029160","M33947"
"Metab234","gamma-glutamyltyrosine","gamma-glutamyltyrosine","gamma-glutamyltyrosine","Peptide","Gamma-glutamyl Amino Acid",2734,NA,"HMDB11741","M2734"
"Metab235","gamma-glutamylvaline","gamma-glutamylvaline","gamma-glutamylvaline","Peptide","gamma-glutamyl",32393,NA,"HMDB11172","M32393"
"Metab236","gamma-glutamylserine","gamma-glutamylserine","gamma-glutamylserine","Peptide","Gamma-glutamyl Amino Acid",54914,NA,"HMDB0029158","M54914"
"Metab237","gamma-glutamylcitrulline*","gamma-glutamylcitrulline*","gamma-glutamylcitrulline","Peptide","Gamma-glutamyl Amino Acid",62104,NA,NA,"M62104"
"Metab238","isoleucylhydroxyproline*","isoleucylhydroxyproline*","isoleucylhydroxyproline","Peptide","Dipeptide Derivative",63051,NA,"HMDB0028908","M63051"
"Metab239","leucylhydroxyproline*","leucylhydroxyproline*","leucylhydroxyproline","Peptide","Dipeptide Derivative",63052,NA,"HMDB0028930","M63052"
"Metab240","alanylleucine","alanylleucine","alanylleucine","Peptide","Dipeptide",37093,NA,"HMDB28691","M37093"
"Metab241","glycylisoleucine","glycylisoleucine","glycylisoleucine","Peptide","Dipeptide",36659,NA,"HMDB0028844","M36659"
"Metab242","glycylleucine","glycylleucine","glycylleucine","Peptide","Dipeptide",34398,"C02155","HMDB00759","M34398"
"Metab243","glycylvaline","glycylvaline","glycylvaline","Peptide","Dipeptide",18357,NA,"HMDB28854","M18357"
"Metab245","isoleucylglycine","isoleucylglycine","isoleucylglycine","Peptide","Dipeptide",40008,NA,"HMDB0028907","M40008"
"Metab246","leucylalanine","leucylalanine","leucylalanine","Peptide","Dipeptide",40010,NA,"HMDB28922","M40010"
"Metab247","leucylglycine","leucylglycine","leucylglycine","Peptide","Dipeptide",40045,NA,"HMDB28929","M40045"
"Metab248","phenylalanylalanine","phenylalanylalanine","phenylalanylalanine","Peptide","Dipeptide",41374,NA,"HMDB0028988","M41374"
"Metab249","phenylalanylglycine","phenylalanylglycine","phenylalanylglycine","Peptide","Dipeptide",41370,NA,"HMDB28995","M41370"
"Metab250","prolylglycine","prolylglycine","prolylglycine","Peptide","Dipeptide",40703,NA,"HMDB11178","M40703"
"Metab251","threonylphenylalanine","threonylphenylalanine","threonylphenylalanine","Peptide","Dipeptide",31530,NA,"HMDB29068","M31530"
"Metab253","tyrosylglycine","tyrosylglycine","tyrosylglycine","Peptide","Dipeptide",41375,NA,"HMDB29105","M41375"
"Metab254","valylglutamine","valylglutamine","valylglutamine","Peptide","Dipeptide",42079,NA,"HMDB29125","M42079"
"Metab255","valylglycine","valylglycine","valylglycine","Peptide","Dipeptide",40475,NA,"HMDB29127","M40475"
"Metab256","valylleucine","valylleucine","valylleucine","Peptide","Dipeptide",39994,NA,"HMDB29131","M39994"
"Metab257","leucylglutamine*","leucylglutamine*","leucylglutamine","Peptide","Dipeptide",48189,NA,"HMDB28927","M48189"
"Metab258","N-acetylmethionylphenylalanine","N-acetylmethionylphenylalanine","N-acetylmethionylphenylalanine","Peptide","Dipeptide",63927,NA,NA,"M63927"
"Metab265","phenylacetylcarnitine","phenylacetylcarnitine","phenylacetylcarnitine","Peptide","Acetylated Peptides",48425,NA,NA,"M48425"
"Metab266","phenylacetylglutamate","phenylacetylglutamate","phenylacetylglutamate","Peptide","Acetylated Peptides",52925,NA,"HMDB0059772","M52925"
"Metab267","phenylacetylglutamine","phenylacetylglutamine","phenylacetylglutamine","Amino acid","Phenylalanine and Tyrosine Metabolism",35126,"C05597","HMDB06344","M35126"
"Metab269","4-hydroxyphenylacetylglutamine","4-hydroxyphenylacetylglutamine","4-hydroxyphenylacetylglutamine","Peptide","Acetylated Peptides",55017,NA,NA,"M55017"
"Metab271","N,N-dimethyl-pro-pro","N,N-dimethyl-pro-pro","N,N-dimethyl-pro-pro","Peptide","Modified Peptides",64571,NA,NA,"M64571"
"Metab272","1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,"C07326","HMDB02712","M20675"
"Metab273","glucose","glucose","glucose","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20488,"C00031","HMDB00122","M20488"
"Metab274","glucose 6-phosphate","glucose 6-phosphate","glucose 6-phosphate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",31260,"C00668","HMDB01401","M31260"
"Metab275","Isobar: hexose diphosphates","Isobar: hexose diphosphates","fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",46896,"C00354",NA,"M46896"
"Metab276","2,3-diphosphoglycerate","2,3-diphosphoglycerate","2,3-diphosphoglycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",15664,"C01159","HMDB0001294","M15664"
"Metab277","dihydroxyacetone phosphate (DHAP)","dihydroxyacetone phosphate (DHAP)","dihydroxyacetone phosphate (DHAP)","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",15522,"C00111","HMDB01473","M15522"
"Metab278","3-phosphoglycerate","3-phosphoglycerate","3-phosphoglycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1414,"C00597","HMDB00807","M1414"
"Metab279","phosphoenolpyruvate (PEP)","phosphoenolpyruvate (PEP)","phosphoenolpyruvate (PEP)","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",597,"C00074","HMDB00263","M597"
"Metab280","pyruvate","pyruvate","pyruvate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",48990,"C00022","HMDB00243","M48990"
"Metab281","lactate","lactate","lactate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",527,"C00186","HMDB00190","M527"
"Metab282","glycerate","glycerate","glycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1572,"C00258","HMDB00139","M1572"
"Metab283","6-phosphogluconate","6-phosphogluconate","6-phosphogluconate","Carbohydrate","Nucleotide sugars, pentose metabolism",15442,"C00345","HMDB01316","M15442"
"Metab284","ribose 1-phosphate","ribose 1-phosphate","ribose 1-phosphate","Carbohydrate","Pentose Phosphate Pathway",1763,"C00620","HMDB0001489","M1763"
"Metab285","sedoheptulose-7-phosphate","sedoheptulose-7-phosphate","sedoheptulose-7-phosphate","Carbohydrate","Nucleotide sugars, pentose metabolism",35649,"C05382","HMDB01068","M35649"
"Metab286","ribose","ribose","ribose","Carbohydrate","Nucleotide sugars, pentose metabolism",12080,"C00121","HMDB00283","M12080"
"Metab287","ribitol","ribitol","ribitol","Carbohydrate","Nucleotide sugars, pentose metabolism",15772,"C00474","HMDB00508","M15772"
"Metab288","ribonate","ribonate","ribonate","Carbohydrate","Pentose Metabolism",27731,"C01685","HMDB00867","M27731"
"Metab289","arabinose","arabinose","arabinose","Carbohydrate","Pentose Metabolism",575,"C00216","HMDB00646","M575"
"Metab290","arabitol/xylitol","arabitol/xylitol","arabitol/xylitol","Carbohydrate","Pentose Metabolism",48885,"C01904",NA,"M48885"
"Metab291","arabonate/xylonate","arabonate/xylonate","arabonate/xylonate","Carbohydrate","Pentose Metabolism",48255,NA,NA,"M48255"
"Metab292","sedoheptulose","sedoheptulose","sedoheptulose","Carbohydrate","Pentose Metabolism",53237,"C02076","HMDB03219","M53237"
"Metab293","lyxonate","lyxonate","ribulonate/xylulonate/lyxonate","Carbohydrate","Pentose Metabolism",61858,NA,NA,"M61858"
"Metab294","maltotetraose","maltotetraose","maltotetraose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15910,"C02052","HMDB01296","M15910"
"Metab295","maltotriose","maltotriose","maltotriose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15877,"C01835","HMDB01262","M15877"
"Metab296","maltose","maltose","maltose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15806,"C00208","HMDB00163","M15806"
"Metab297","fructose","fructose","fructose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",31266,"C00095","HMDB00660","M31266"
"Metab298","mannitol/sorbitol","mannitol/sorbitol","mannitol/sorbitol","Carbohydrate","Fructose, Mannose and Galactose Metabolism",46142,"C00794","HMDB00247","M46142"
"Metab299","mannose","mannose","mannose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",584,"C00159","HMDB00169","M584"
"Metab300","mannose 6-phosphate","mannose 6-phosphate","mannose 6-phosphate","Carbohydrate","Fructose, Mannose and Galactose Metabolism",1469,"C00275","HMDB0001078","M1469"
"Metab301","galactose 1-phosphate","galactose 1-phosphate","galactose 1-phosphate","Carbohydrate","Fructose, Mannose and Galactose Metabolism",15706,"C00446","HMDB00645","M15706"
"Metab302","galactose 6-phosphate","galactose 6-phosphate","galactose 6-phosphate","Carbohydrate","Fructose, Mannose and Galactose Metabolism",57615,"C01113",NA,"M57615"
"Metab303","UDP-glucose","UDP-glucose","UDP-glucose","Carbohydrate","Nucleotide Sugar",32344,"C00029","HMDB00286","M32344"
"Metab304","UDP-galactose","UDP-galactose","UDP-galactose","Carbohydrate","Nucleotide Sugar",15860,"C00052","HMDB00302","M15860"
"Metab305","UDP-glucuronate","UDP-glucuronate","UDP-glucuronate","Carbohydrate","Nucleotide sugars, pentose metabolism",2763,"C00167","HMDB00935","M2763"
"Metab306","guanosine 5'-diphospho-fucose","guanosine 5'-diphospho-fucose","guanosine 5'-diphospho-fucose","Nucleotide","Purine Metabolism, Guanine containing",15903,NA,NA,"M15903"
"Metab307","UDP-N-acetylglucosamine/galactosamine","UDP-N-acetylglucosamine/galactosamine","UDP-N-acetylglucosamine/galactosamine","Carbohydrate","Nucleotide Sugar",46148,NA,NA,"M46148"
"Metab308","cytidine 5'-monophospho-N-acetylneuraminic acid","cytidine 5'-monophospho-N-acetylneuraminic acid","cytidine 5'-monophospho-N-acetylneuraminic acid","Carbohydrate","Nucleotide Sugar",36831,"C00128","HMDB01176","M36831"
"Metab309","glucosamine-6-phosphate","glucosamine-6-phosphate","glucosamine-6-phosphate","Carbohydrate","Aminosugar Metabolism",580,"C00352","HMDB0001254","M580"
"Metab310","glucuronate","glucuronate","glucuronate","Carbohydrate","Aminosugar Metabolism",15443,"C00191","HMDB00127","M15443"
"Metab311","N-acetylglucosamine 6-phosphate","N-acetylglucosamine 6-phosphate","N-acetylglucosamine 6-phosphate","Carbohydrate","Aminosugar Metabolism",15107,"C00357","HMDB02817","M15107"
"Metab312","N-acetyl-glucosamine 1-phosphate","N-acetyl-glucosamine 1-phosphate","N-acetyl-glucosamine 1-phosphate","Carbohydrate","Aminosugar Metabolism",15741,"C04256","HMDB01367","M15741"
"Metab313","N-acetylneuraminate","N-acetylneuraminate","N-acetylneuraminate","Carbohydrate","Aminosugar Metabolism",1592,"C00270","HMDB00230","M1592"
"Metab314","N-acetylglucosaminylasparagine","N-acetylglucosaminylasparagine","N-acetylglucosaminylasparagine","Carbohydrate","Aminosugar Metabolism",48149,"C04540","HMDB00489","M48149"
"Metab315","erythronate*","erythronate*","erythronate","Carbohydrate","Aminosugar Metabolism",33477,NA,"HMDB00613","M33477"
"Metab316","N-acetylglucosamine/N-acetylgalactosamine","N-acetylglucosamine/N-acetylgalactosamine","N-acetylglucosamine/N-acetylgalactosamine","Carbohydrate","Aminosugar Metabolism",46539,"C01074","HMDB00215","M46539"
"Metab317","N6-carboxymethyllysine","N6-carboxymethyllysine","N6-carboxymethyllysine","Carbohydrate","Advanced Glycation End-product",36713,NA,"HMDB0240347","M36713"
"Metab318","citrate","citrate","citrate","Energy","TCA Cycle",1564,"C00158","HMDB00094","M1564"
"Metab319","aconitate [cis or trans]","aconitate [cis or trans]","aconitate [cis or trans]","Energy","TCA Cycle",46173,"C02341","HMDB0000958","M46173"
"Metab320","isocitric lactone","isocitric lactone","isocitric lactone","Energy","TCA Cycle",54724,NA,NA,"M54724"
"Metab321","alpha-ketoglutarate","alpha-ketoglutarate","alpha-ketoglutarate","Energy","TCA Cycle",528,"C00026","HMDB00208","M528"
"Metab322","succinylcarnitine (C4-DC)","succinylcarnitine (C4-DC)","succinylcarnitine","Energy","TCA Cycle",37058,NA,NA,"M37058"
"Metab323","succinate","succinate","succinate","Energy","TCA Cycle",1437,"C00042","HMDB00254","M1437"
"Metab324","fumarate","fumarate","fumarate","Energy","TCA Cycle",1643,"C00122","HMDB00134","M1643"
"Metab325","malate","malate","malate","Energy","TCA Cycle",1303,"C00149","HMDB00156","M1303"
"Metab326","citraconate/glutaconate","citraconate/glutaconate","citraconate/glutaconate","Energy","TCA Cycle",47076,"C02226","HMDB0000620","M47076"
"Metab327","2-methylcitrate/homocitrate","2-methylcitrate/homocitrate","2-methylcitrate/homocitrate","Energy","TCA Cycle",52282,"C01251","HMDB0003518","M52282"
"Metab328","acetylphosphate","acetylphosphate","acetylphosphate","Energy","Oxidative Phosphorylation",15488,"C00227","HMDB01494","M15488"
"Metab329","phosphate","phosphate","phosphate","Energy","Oxidative Phosphorylation",11438,"C00009","HMDB01429","M11438"
"Metab330","malonylcarnitine","malonylcarnitine","malonylcarnitine","Lipid","Fatty Acid Synthesis",37059,NA,"HMDB02095","M37059"
"Metab331","butyrate/isobutyrate (4:0)","butyrate/isobutyrate (4:0)","butyrate/isobutyrate (4:0)","Lipid","Short Chain Fatty Acid",40605,"C00246","HMDB0000039","M40605"
"Metab332","caproate (6:0)","caproate (6:0)","caproate (6:0)","Lipid","Medium Chain Fatty Acid",32489,"C01585","HMDB00535","M32489"
"Metab333","heptanoate (7:0)","heptanoate (7:0)","heptanoate (7:0)","Lipid","Medium Chain Fatty Acid",1644,"C17714","HMDB00666","M1644"
"Metab334","caprylate (8:0)","caprylate (8:0)","caprylate (8:0)","Lipid","Medium Chain Fatty Acid",32492,"C06423","HMDB00482","M32492"
"Metab335","pelargonate (9:0)","pelargonate (9:0)","pelargonate (9:0)","Lipid","Medium Chain Fatty Acid",12035,"C01601","HMDB00847","M12035"
"Metab336","caprate (10:0)","caprate (10:0)","caprate (10:0)","Lipid","Medium Chain Fatty Acid",1642,"C01571","HMDB00511","M1642"
"Metab337","cis-4-decenoate (10:1n6)*","cis-4-decenoate (10:1n6)*","cis-4-decenoate (10:1n6)","Lipid","Medium Chain Fatty Acid",62873,NA,"HMDB0004980","M62873"
"Metab338","laurate (12:0)","laurate (12:0)","laurate (12:0)","Lipid","Medium Chain Fatty Acid",1645,"C02679","HMDB00638","M1645"
"Metab339","5-dodecenoate (12:1n7)","5-dodecenoate (12:1n7)","5-dodecenoate (12:1n7)","Lipid","Medium Chain Fatty Acid",33968,NA,"HMDB00529","M33968"
"Metab340","myristate (14:0)","myristate (14:0)","myristate (14:0)","Lipid","Long Chain Fatty Acid",1365,"C06424","HMDB00806","M1365"
"Metab341","pentadecanoate (15:0)","pentadecanoate (15:0)","pentadecanoate (15:0)","Lipid","Long Chain Fatty Acid",1361,"C16537","HMDB00826","M1361"
"Metab342","palmitate (16:0)","palmitate (16:0)","palmitate (16:0)","Lipid","Long Chain Fatty Acid",1336,"C00249","HMDB00220","M1336"
"Metab343","margarate (17:0)","margarate (17:0)","margarate (17:0)","Lipid","Long Chain Fatty Acid",1121,NA,"HMDB02259","M1121"
"Metab344","stearate (18:0)","stearate (18:0)","stearate (18:0)","Lipid","Long Chain Fatty Acid",1358,"C01530","HMDB00827","M1358"
"Metab345","nonadecanoate (19:0)","nonadecanoate (19:0)","nonadecanoate (19:0)","Lipid","Long Chain Fatty Acid",1356,"C16535","HMDB00772","M1356"
"Metab346","arachidate (20:0)","arachidate (20:0)","arachidate (20:0)","Lipid","Long Chain Saturated Fatty Acid",1118,"C06425","HMDB02212","M1118"
"Metab347","myristoleate (14:1n5)","myristoleate (14:1n5)","myristoleate (14:1n5)","Lipid","Long Chain Fatty Acid",32418,"C08322","HMDB02000","M32418"
"Metab348","palmitoleate (16:1n7)","palmitoleate (16:1n7)","palmitoleate (16:1n7)","Lipid","Long Chain Fatty Acid",33447,"C08362","HMDB03229","M33447"
"Metab349","10-heptadecenoate (17:1n7)","10-heptadecenoate (17:1n7)","10-heptadecenoate (17:1n7)","Lipid","Long Chain Monounsaturated Fatty Acid",33971,NA,"HMDB60038","M33971"
"Metab350","oleate/vaccenate (18:1)","oleate/vaccenate (18:1)","oleate/vaccenate (18:1)","Lipid","Long Chain Monounsaturated Fatty Acid",52285,"C01712","HMDB0000207","M52285"
"Metab351","10-nonadecenoate (19:1n9)","10-nonadecenoate (19:1n9)","10-nonadecenoate (19:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid",33972,NA,"HMDB13622","M33972"
"Metab352","eicosenoate (20:1n9 or 1n11)","eicosenoate (20:1n9 or 1n11)","eicosenoate (20:1)","Lipid","Long Chain Monounsaturated Fatty Acid",33587,"C16526","HMDB02231","M33587"
"Metab353","erucate (22:1n9)","erucate (22:1n9)","erucate (22:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid",1552,"C08316","HMDB02068","M1552"
"Metab354","tetradecadienoate (14:2)*","tetradecadienoate (14:2)*","tetradecadienoate (14:2)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",62850,NA,"HMDB00560","M62850"
"Metab355","stearidonate (18:4n3)","stearidonate (18:4n3)","stearidonate (18:4n3)","Lipid","Long Chain Fatty Acid",33969,"C16300","HMDB06547","M33969"
"Metab356","eicosapentaenoate (EPA; 20:5n3)","eicosapentaenoate (EPA; 20:5n3)","eicosapentaenoate (EPA; 20:5n3)","Lipid","Essential fatty acid",18467,"C06428","HMDB01999","M18467"
"Metab357","docosapentaenoate (DPA; 22:5n3)","docosapentaenoate (DPA; 22:5n3)","docosapentaenoate (n3 DPA; 22:5n3)","Lipid","Essential fatty acid",32504,"C16513","HMDB01976","M32504"
"Metab358","docosahexaenoate (DHA; 22:6n3)","docosahexaenoate (DHA; 22:6n3)","docosahexaenoate (DHA; 22:6n3)","Lipid","Essential fatty acid",19323,"C06429","HMDB02183","M19323"
"Metab359","docosatrienoate (22:3n3)","docosatrienoate (22:3n3)","docosatrienoate (22:3n3)","Lipid","Long Chain Fatty Acid",32417,"C16534","HMDB02823","M32417"
"Metab360","nisinate (24:6n3)","nisinate (24:6n3)","nisinate (24:6n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",57810,NA,"HMDB02007","M57810"
"Metab361","hexadecadienoate (16:2n6)","hexadecadienoate (16:2n6)","hexadecadienoate (16:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",57652,NA,"HMDB00477","M57652"
"Metab362","linoleate (18:2n6)","linoleate (18:2n6)","linoleate (18:2n6)","Lipid","Essential fatty acid",1105,"C01595","HMDB00673","M1105"
"Metab363","linolenate (18:3n3 or 3n6)","linolenate (18:3n3 or 3n6)","linolenate [alpha or gamma; (18:3n3 or 6)]","Lipid","Essential fatty acid",34035,"C06427","HMDB01388","M34035"
"Metab364","dihomolinoleate (20:2n6)","dihomolinoleate (20:2n6)","dihomo-linoleate (20:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",17805,"C16525","HMDB05060","M17805"
"Metab365","dihomolinolenate (20:3n3 or 3n6)","dihomolinolenate (20:3n3 or 3n6)","dihomo-linolenate (20:3n3 or n6)","Lipid","Essential fatty acid",35718,"C03242","HMDB02925","M35718"
"Metab366","arachidonate (20:4n6)","arachidonate (20:4n6)","arachidonate (20:4n6)","Lipid","Long Chain Fatty Acid",1110,"C00219","HMDB01043","M1110"
"Metab367","adrenate (22:4n6)","adrenate (22:4n6)","adrenate (22:4n6)","Lipid","Long Chain Fatty Acid",32980,"C16527","HMDB02226","M32980"
"Metab368","docosapentaenoate (n6 DPA; 22:5n6)","docosapentaenoate (n6 DPA; 22:5n6)","docosapentaenoate (n6 DPA; 22:5n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",37478,"C16513","HMDB01976","M37478"
"Metab369","docosadienoate (22:2n6)","docosadienoate (22:2n6)","docosadienoate (22:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",32415,"C16533","HMDB61714","M32415"
