"","feature","cluster","col","feature_name","feature_map","enriched_Term","enriched_Overlap","enriched_Genes","enriched_P.value","enriched_Adjusted.P.value","enriched_GO"
"4732","FAM13A-AS1","cluster_000021","#BF2F3D","FAM13A-AS1","FAM13A-AS1","Vasoconstriction ","2/9","EDN1;EDN2",0.000160994001630338,0.0233619870285999,"GO:0042310"
"4733","FAM13B","cluster_000083","#4C71A4","FAM13B","FAM13B","Establishment Of Epithelial Cell Apical/Basal Polarity ","2/10","RAP2A;MSN",0.000125153547099018,0.0245712162241628,"GO:0045198"
"4734","FAM13C","cluster_000441","#FFD623","FAM13C","FAM13C","Cellular Response To Sterol ","2/15","INSIG2;RORA",9.89757503698104e-05,0.0252388163443016,"GO:0036315"
"4735","FAM149A","cluster_000316","#BC5F69","FAM149A","FAM149A","Xenobiotic Transport Across Blood-Brain Barrier ","1/5","SLC22A2",0.00573728911332865,0.0794424034477794,"GO:1990962"
"4736","FAM149B1","cluster_000053","#845172","FAM149B1","FAM149B1","Protein Polyubiquitination ","5/226","RNF34;KBTBD6;MKRN1;UBE3B;KBTBD7",5.7211996555723e-05,0.011556823304256,"GO:0000209"
"4737","FAM151A","cluster_000153","#449C73","FAM151A","FAM151A","Amino Acid Transmembrane Transport ","3/42","SLC36A2;SLC7A8;SFXN2",3.02898736282582e-05,0.00566420636848429,"GO:0003333"
"4738","FAM151B","cluster_000505","#DEC02E","FAM151B","FAM151B","Vocal Learning ","1/5","HTT",0.00474139160939957,0.0953152298399309,"GO:0042297"
"4739","FAM153A","cluster_000040","#9C435C","FAM153A","FAM153A","Organelle Organization ","4/418","PEX3;RANBP10;COG1;GOLGA8A",0.00868413784549145,0.159637443320699,"GO:0006996"
"4740","FAM153B","cluster_000658","#F680BE","FAM153B","FAM153B","Positive Regulation Of Podosome Assembly ","1/5","IL5",0.00349539889312047,0.0685202463650387,"GO:0071803"
"4741","FAM153CP","cluster_000554","#AF6829","FAM153CP","FAM153CP","Organelle Fission ","2/22","MTFP1;PEX11A",0.000155518877333677,0.0270602846560598,"GO:0048285"
"4742","FAM155A","cluster_000515","#D4AE2D","FAM155A","FAM155A","Regulation Of Circadian Sleep/Wake Cycle ","1/5","PER3",0.00449229270839297,0.0820100533090671,"GO:0042749"
"4743","FAM155B","cluster_000045","#924865","FAM155B","FAM155B","Vitamin A Metabolic Process ","2/6","KDM5A;ARID4A",5.53015772757396e-05,0.0141572037825893,"GO:0006776"
"4744","FAM156A","cluster_000542","#BB7E2A","FAM156A","FAM156A","Negative Regulation Of Execution Phase Of Apoptosis ","2/19","MTRNR2L8;MTRNR2L2",0.000115296872353532,0.0104880576912313,"GO:1900118"
"4745","FAM156B","cluster_000418","#FFB716","FAM156B","FAM156B","Negative Regulation Of Osteoclast Differentiation ","2/21","LILRB3;LTF",0.000197241423521882,0.0335011049028296,"GO:0045671"
"4746","FAM157A","cluster_000473","#FCFA32","FAM157A","FAM157A","Cytokine-Mediated Signaling Pathway ","7/257","CXCL10;CXCL9;CXCL11;SOCS1;EBI3;CXCL13;IL12RB2",2.35471875613947e-09,2.94339844517434e-07,"GO:0019221"
"4747","FAM160A1","cluster_000283","#984EA2","FAM160A1","FAM160A1","Telomere Maintenance Via Telomerase ","2/19","TERT;DKC1",0.000233060075995262,0.0200431665355925,"GO:0007004"
"4748","FAM160A2","cluster_000016","#C82934","FAM160A2","FAM160A2","rRNA Catabolic Process ","3/19","TRIR;ZCCHC7;EXOSC2",9.39188834524326e-06,0.00262972873666811,"GO:0016075"
"4749","FAM160B1","cluster_000080","#526E9F","FAM160B1","FAM160B1","Establishment Of Epithelial Cell Apical/Basal Polarity ","2/10","RAP2A;MSN",0.000125153547099018,0.0245712162241628,"GO:0045198"
"4750","FAM160B2","cluster_000354","#E67327","FAM160B2","FAM160B2","Mitochondrial Outer Membrane Permeabilization ","1/7","RTL10",0.00767569624028282,0.166540652340798,"GO:0097345"
"4751","FAM161A","cluster_000249","#7D7083","FAM161A","FAM161A","Adiponectin-Activated Signaling Pathway ","1/5","APLP2",0.00623493907047315,0.100479058621264,"GO:0033211"
"4752","FAM161B","cluster_000294","#A4538F","FAM161B","FAM161B","Regulation Of Hydrogen Peroxide Metabolic Process ","1/5","NOXA1",0.00598613898759602,0.0643910501556496,"GO:0010310"
"4753","FAM162A","cluster_000495","#E7D230","FAM162A","FAM162A","Axonogenesis ","4/188","FEZ1;MAP1B;MAP1A;GLI2",2.62429515923753e-05,0.00852895926752197,"GO:0007409"
"4754","FAM162B","cluster_000426","#FFC21A","FAM162B","FAM162B","Cellular Response To Organic Substance ","3/82","SYK;IL18;AKAP6",7.20061549773837e-05,0.00910147274714014,"GO:0071310"
"4755","FAM163A","cluster_000550","#B36F29","FAM163A","FAM163A","Action Potential ","2/35","CHRNA1;KCNE3",0.00039798731156283,0.0521363378147307,"GO:0001508"
"4756","FAM166C","cluster_000105","#3983AC","FAM166C","FAM166C","Organelle Membrane Fusion ","2/26","SYT11;STX6",0.000786913806034086,0.112461450856341,"GO:0090174"
"4757","FAM167A","cluster_000228","#6C866F","FAM167A","FAM167A","Negative Regulation Of Osteoblast Proliferation ","2/7","SFRP1;PLXNB1",3.39886991690106e-05,0.0104345306448862,"GO:0033689"
"4758","FAM167B","cluster_000593","#BE6356","FAM167B","FAM167B","Angiotensin-Activated Signaling Pathway ","1/6","CAMK2A",0.00479094227501427,0.0732461644822065,"GO:0038166"
"4759","FAM168A","cluster_000002","#E21B1D","FAM168A","FAM168A","Chromatin Remodeling ","8/228","DR1;HDAC1;HP1BP3;MTF2;GLMN;ZBTB1;SMARCA5;MYSM1",4.77177147491703e-06,0.00228676564985312,"GO:0006338"
"4760","FAM168B","cluster_000406","#FFA710","FAM168B","FAM168B","Protein N-linked Glycosylation Via Asparagine ","2/23","OSTC;STT3A",0.000262144756571282,0.038416941668363,"GO:0018279"
"4761","FAM169A","cluster_000114","#3B87A1","FAM169A","FAM169A","[2Fe-2S] Cluster Assembly ","3/9","NFS1;GLRX5;FXN",2.81417091402286e-07,4.30568149845498e-05,"GO:0044571"
"4762","FAM169B","cluster_000473","#FCFA32","FAM169B","FAM169B","Cytokine-Mediated Signaling Pathway ","7/257","CXCL10;CXCL9;CXCL11;SOCS1;EBI3;CXCL13;IL12RB2",2.35471875613947e-09,2.94339844517434e-07,"GO:0019221"
"4763","FAM171A1","cluster_000735","#AA949F","FAM171A1","FAM171A1","L-glutamate Transmembrane Transport ","2/14","SLC1A2;SLC17A7",2.49349563767472e-05,0.00162508194419625,"GO:0015813"
"4764","FAM171A2","cluster_000106","#3983AA","FAM171A2","FAM171A2","Negative Regulation Of Microtubule Depolymerization ","2/20","KATNB1;ARHGEF2",0.000434140102652416,0.0521419304876993,"GO:0007026"
"4765","FAM171B","cluster_000216","#629263","FAM171B","FAM171B","Collagen Fibril Organization ","5/42","COL18A1;ADAMTS2;COL5A1;COL5A3;CYP1B1",2.03209789203819e-09,6.29950346531839e-07,"GO:0030199"
"4766","FAM172A","cluster_000180","#4AAA54","FAM172A","FAM172A","Positive Regulation Of Signal Transduction ","3/266","RWDD3;GKAP1;EPN2",0.00595994012333446,0.0978710900407165,"GO:0009967"
"4767","FAM174A","cluster_000298","#A85688","FAM174A","FAM174A","Mitochondrial Fission ","3/13","FIS1;MIEF1;MFF",4.30761214933425e-07,9.60597509301539e-05,"GO:0000266"
"4768","FAM174B","cluster_000394","#FF9609","FAM174B","FAM174B","Positive Regulation Of Cilium Movement ","1/6","TACR1",0.00628419133253944,0.115893893204117,"GO:0003353"
"4769","FAM174C","cluster_000299","#A95686","FAM174C","FAM174C","Mitochondrial Fission ","3/13","FIS1;MIEF1;MFF",4.30761214933425e-07,9.60597509301539e-05,"GO:0000266"
"4770","FAM177A1","cluster_000021","#BF2F3D","FAM177A1","FAM177A1","Vasoconstriction ","2/9","EDN1;EDN2",0.000160994001630338,0.0233619870285999,"GO:0042310"
"4771","FAM177B","cluster_000255","#816A88","FAM177B","FAM177B","Medium-Chain Fatty Acid Metabolic Process ","2/14","CYP4Z1;CYP4A22",0.00013525136020906,0.0170416713863416,"GO:0051791"
"4772","FAM180A","cluster_000592","#BD6254","FAM180A","FAM180A","Angiotensin-Activated Signaling Pathway ","1/6","CAMK2A",0.00479094227501427,0.0732461644822065,"GO:0038166"
"4773","FAM180B","cluster_000730","#AF93A1","FAM180B","FAM180B","BMP Signaling Pathway ","2/61","GDF10;RGMA",0.000494429518264185,0.019674712690821,"GO:0030509"
"4774","FAM182B","cluster_000105","#3983AC","FAM182B","FAM182B","Organelle Membrane Fusion ","2/26","SYT11;STX6",0.000786913806034086,0.112461450856341,"GO:0090174"
"4775","FAM183A","cluster_000105","#3983AC","FAM183A","FAM183A","Organelle Membrane Fusion ","2/26","SYT11;STX6",0.000786913806034086,0.112461450856341,"GO:0090174"
"4776","FAM184A","cluster_000007","#D82025","FAM184A","FAM184A","Mesodermal Cell Differentiation ","3/8","ITGA3;ITGB3;HMGA2",8.16016795092252e-07,0.000326406718036901,"GO:0048333"
"4777","FAM184B","cluster_000189","#4DAE4A","FAM184B","FAM184B","Regulation Of Neutrophil Migration ","2/8","MPP1;SLAMF8",5.26456172967687e-05,0.0163481856979941,"GO:1902622"
"4778","FAM185A","cluster_000234","#718074","FAM185A","FAM185A","Establishment Of Lymphocyte Polarity ","1/5","SCRIB",0.00648368936979889,0.0993137047537436,"GO:0001767"
"4779","FAM186A","cluster_000066","#6C5F88","FAM186A","FAM186A","Cilium Assembly ","12/243","DYNC2H1;IFT88;IFT140;IFT81;DNAAF1;TCTN1;WDR19;BBS9;CFAP46;CFAP43;WDR35;ENKD1",5.1351322748735e-15,6.77837460283301e-13,"GO:0060271"
"4780","FAM186B","cluster_000092","#3C7AB3","FAM186B","FAM186B","Protein Depolymerization ","2/28","MICAL3;KIF24",0.000913416383582455,0.100792461264035,"GO:0051261"
"4781","FAM189A1","cluster_000499","#E3CB2F","FAM189A1","FAM189A1","Glycolytic Process ","7/29","GPI;LDHA;TPI1;PKM;PGAM1;PGK1;GAPDH",3.06238582546617e-16,5.42042291107513e-14,"GO:0006096"
"4782","FAM189A2","cluster_000441","#FFD623","FAM189A2","FAM189A2","Cellular Response To Sterol ","2/15","INSIG2;RORA",9.89757503698104e-05,0.0252388163443016,"GO:0036315"
"4783","FAM189B","cluster_000675","#E685B8","FAM189B","FAM189B","Positive Regulation Of Mitotic Cytokinesis ","2/5","INCENP;NUP62",4.54444066889218e-06,0.000790732676387239,"GO:1903490"
"4784","FAM193A","cluster_000036","#A33F56","FAM193A","FAM193A","Peptidyl-Serine Autophosphorylation ","2/7","PIKFYVE;RIPK1",7.73269914875204e-05,0.0283016788844324,"GO:0036289"
"4785","FAM193B","cluster_000105","#3983AC","FAM193B","FAM193B","Organelle Membrane Fusion ","2/26","SYT11;STX6",0.000786913806034086,0.112461450856341,"GO:0090174"
"4786","FAM199X","cluster_000440","#FFD522","FAM199X","FAM199X","Cellular Response To Sterol ","2/15","INSIG2;RORA",9.89757503698104e-05,0.0252388163443016,"GO:0036315"
"4787","FAM200A","cluster_000524","#CC9E2C","FAM200A","FAM200A","Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling ","3/175","TNIP2;LTBR;JMJD8",0.000487801289476404,0.0598665271175419,"GO:0043123"
"4788","FAM200B","cluster_000234","#718074","FAM200B","FAM200B","Establishment Of Lymphocyte Polarity ","1/5","SCRIB",0.00648368936979889,0.0993137047537436,"GO:0001767"
"4789","FAM201A","cluster_000464","#FFF62F","FAM201A","FAM201A","Inflammatory Response ","4/236","CSF1R;LOXL3;TLR6;NAIP",7.89242844839864e-05,0.0214674053796443,"GO:0006954"
"4790","FAM204A","cluster_000411","#FFAE12","FAM204A","FAM204A","Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay ","1/6","DCP1B",0.00628419133253944,0.0691288167448749,"GO:0031086"
"4791","FAM207A","cluster_000601","#C56663","FAM207A","FAM207A","Regulation Of Actin Filament-Based Process ","2/70","PRKCD;IQGAP2",0.00140379744665041,0.0657066725128595,"GO:0032970"
"4792","FAM20A","cluster_000140","#419583","FAM20A","FAM20A","Peroxisome Fission ","2/8","PEX19;PEX11B",6.05600788972395e-05,0.0136865778307761,"GO:0016559"
"4793","FAM20B","cluster_000038","#9F4159","FAM20B","FAM20B","Peptidyl-Serine Autophosphorylation ","2/7","PIKFYVE;RIPK1",7.73269914875204e-05,0.0283016788844324,"GO:0036289"
"4794","FAM20C","cluster_000307","#B25A78","FAM20C","FAM20C","Negative Regulation Of Relaxation Of Muscle ","1/5","PDE4D",0.00573728911332865,0.0774012317250718,"GO:1901078"
"4795","FAM210A","cluster_000159","#469F6C","FAM210A","FAM210A","Establishment Of Protein Localization To Mitochondrion ","4/44","TIMM13;TIMM17B;TIMM44;TIMM50",4.64748720081316e-07,0.000124087908261711,"GO:0072655"
"4796","FAM210B","cluster_000075","#5B6896","FAM210B","FAM210B","Negative Regulation Of Transcription By RNA Polymerase II ","6/763","ZNF550;PCID2;ZNF350;ZNF559;ZNF614;ZNF568",0.00162954937505962,0.0749592712527424,"GO:0000122"
"4797","FAM214A","cluster_000296","#A6548B","FAM214A","FAM214A","Regulation Of Hydrogen Peroxide Metabolic Process ","1/5","NOXA1",0.00598613898759602,0.0643910501556496,"GO:0010310"
"4798","FAM214B","cluster_000106","#3983AA","FAM214B","FAM214B","Negative Regulation Of Microtubule Depolymerization ","2/20","KATNB1;ARHGEF2",0.000434140102652416,0.0521419304876993,"GO:0007026"
"4799","FAM216A","cluster_000314","#BA5E6C","FAM216A","FAM216A","Regulation Of G2/M Transition Of Mitotic Cell Cycle ","3/35","CENPF;KIF14;CDK1",8.4878798984969e-06,0.00169757597969938,"GO:0010389"
"4800","FAM217B","cluster_000646","#EC7BAB","FAM217B","FAM217B","Regulation Of Heart Contraction ","2/69","DMPK;ATP1A2",0.00119644689354031,0.0632166371270769,"GO:0008016"
"4801","FAM218A","cluster_000597","#C2655C","FAM218A","FAM218A","Regulation Of Cell-Cell Adhesion ","2/43","CEACAM1;PODXL",0.000531544900835433,0.0527738792362776,"GO:0022407"
"4802","FAM219A","cluster_000119","#3C8A9B","FAM219A","FAM219A","Nucleotide-Excision Repair ","3/56","GTF2H2C;ERCC8;GTF2H5",8.84026474542174e-05,0.0174153215484808,"GO:0006289"
"4803","FAM219B","cluster_000421","#FFBB18","FAM219B","FAM219B","Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin ","1/5","PIEZO1",0.00499044069595166,0.069317762308227,"GO:0033634"
"4804","FAM220A","cluster_000225","#69896C","FAM220A","FAM220A","Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process ","3/83","RNF180;TRIB2;SMAD7",0.000167242631352187,0.0194839904821112,"GO:0032436"
"4805","FAM221A","cluster_000561","#A95B28","FAM221A","FAM221A","2-Oxoglutarate Metabolic Process ","2/14","PHYH;OGDH",6.15100567126949e-05,0.00578194533099332,"GO:0006103"
"4806","FAM222A","cluster_000227","#6B876E","FAM222A","FAM222A","Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process ","3/83","RNF180;TRIB2;SMAD7",0.000167242631352187,0.0194839904821112,"GO:0032436"
"4807","FAM222B","cluster_000321","#C26260","FAM222B","FAM222B","Regulation Of Collateral Sprouting ","2/7","PTPRS;ULK2",2.64720697795306e-05,0.00497674911855175,"GO:0048670"
"4808","FAM227A","cluster_000126","#3E8E93","FAM227A","FAM227A","DNA Integrity Checkpoint Signaling ","3/42","TIPRL;INTS7;DNA2",3.71526678014256e-05,0.0059444268482281,"GO:0031570"
"4809","FAM227B","cluster_000132","#3F918C","FAM227B","FAM227B","Isoprenoid Biosynthetic Process ","2/8","MVD;PDSS1",6.05600788972395e-05,0.006449648402556,"GO:0008299"
"4810","FAM228A","cluster_000578","#B15C3E","FAM228A","FAM228A","Sphingosine-1-Phosphate Receptor Signaling Pathway ","1/8","SPNS2",0.00678090602009761,0.0709157828922053,"GO:0003376"
"4811","FAM228B","cluster_000342","#D96C3B","FAM228B","FAM228B","Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process ","3/319","PSMB3;PSMA7;ANAPC11",0.00561916422403859,0.0979568098365482,"GO:0043161"
"4812","FAM229B","cluster_000180","#4AAA54","FAM229B","FAM229B","Positive Regulation Of Signal Transduction ","3/266","RWDD3;GKAP1;EPN2",0.00595994012333446,0.0978710900407165,"GO:0009967"
"4813","FAM234A","cluster_000207","#5B9C5B","FAM234A","FAM234A","Cytoplasmic Translational Initiation ","2/30","EIF4A2;EIF3L",0.000745843175389433,0.125577817486753,"GO:0002183"
"4814","FAM234B","cluster_000203","#58A057","FAM234B","FAM234B","Negative Regulation Of Amide Metabolic Process ","2/93","ZNF540;DAPK1",0.0069611911839573,0.114863748451268,"GO:0034249"
"4815","FAM238C","cluster_000405","#FFA50F","FAM238C","FAM238C","Protein N-linked Glycosylation Via Asparagine ","2/23","OSTC;STT3A",0.000262144756571282,0.038416941668363,"GO:0018279"
"4816","FAM241A","cluster_000224","#698A6B","FAM241A","FAM241A","Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process ","3/83","RNF180;TRIB2;SMAD7",0.000167242631352187,0.0194839904821112,"GO:0032436"
"4817","FAM241B","cluster_000628","#DD738E","FAM241B","FAM241B","Glycine Metabolic Process ","2/7","SHMT1;GLYAT",1.1000996562012e-05,0.00100432536897257,"GO:0006544"
"4818","FAM245A","cluster_000517","#D2AB2D","FAM245A","FAM245A","Regulation Of Natural Killer Cell Mediated Cytotoxicity ","3/32","NCR1;KLRC3;CRTAM",2.98659820067944e-06,0.000483828908510069,"GO:0042269"
"4819","FAM30A","cluster_000151","#449B76","FAM30A","FAM30A","One-Carbon Compound Transport ","3/35","SLC14A1;SLC14A2;SLC4A11",1.73870582528189e-05,0.00361650811658634,"GO:0019755"
"4820","FAM32A","cluster_000081","#506FA0","FAM32A","FAM32A","Establishment Of Epithelial Cell Apical/Basal Polarity ","2/10","RAP2A;MSN",0.000125153547099018,0.0245712162241628,"GO:0045198"
"4821","FAM3A","cluster_000341","#D86C3D","FAM3A","FAM3A","Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process ","3/319","PSMB3;PSMA7;ANAPC11",0.00561916422403859,0.0979568098365482,"GO:0043161"
"4822","FAM3B","cluster_000372","#FA7C07","FAM3B","FAM3B","Ceramide Biosynthetic Process ","2/42","CERS3;ST6GALNAC5",0.000968324347623737,0.0855740229230727,"GO:0046513"
"4823","FAM3C","cluster_000045","#924865","FAM3C","FAM3C","Vitamin A Metabolic Process ","2/6","KDM5A;ARID4A",5.53015772757396e-05,0.0141572037825893,"GO:0006776"
"4824","FAM43A","cluster_000149","#439A78","FAM43A","FAM43A","One-Carbon Compound Transport ","3/35","SLC14A1;SLC14A2;SLC4A11",1.73870582528189e-05,0.00361650811658634,"GO:0019755"
"4825","FAM47E","cluster_000294","#A4538F","FAM47E","FAM47E","Regulation Of Hydrogen Peroxide Metabolic Process ","1/5","NOXA1",0.00598613898759602,0.0643910501556496,"GO:0010310"
"4826","FAM50A","cluster_000481","#F4EB31","FAM50A","FAM50A","Cilium Movement ","2/59","CFAP61;DNAI1",0.00141647463282005,0.0751839565029276,"GO:0003341"
"4827","FAM50B","cluster_000397","#FF9A0B","FAM50B","FAM50B","Negative Regulation Of Developmental Growth ","2/31","MYOZ1;NKD1",0.00047937621131243,0.0456025979658042,"GO:0048640"
"4828","FAM53A","cluster_000255","#816A88","FAM53A","FAM53A","Medium-Chain Fatty Acid Metabolic Process ","2/14","CYP4Z1;CYP4A22",0.00013525136020906,0.0170416713863416,"GO:0051791"
"4829","FAM53B","cluster_000296","#A6548B","FAM53B","FAM53B","Regulation Of Hydrogen Peroxide Metabolic Process ","1/5","NOXA1",0.00598613898759602,0.0643910501556496,"GO:0010310"
"4830","FAM53C","cluster_000503","#E0C42F","FAM53C","FAM53C","Macroautophagy ","3/104","PLAA;VPS37A;YOD1",0.00012457269929357,0.0130322991855924,"GO:0016236"
"4831","FAM66A","cluster_000314","#BA5E6C","FAM66A","FAM66A","Regulation Of G2/M Transition Of Mitotic Cell Cycle ","3/35","CENPF;KIF14;CDK1",8.4878798984969e-06,0.00169757597969938,"GO:0010389"
"4832","FAM66B","cluster_000213","#609560","FAM66B","FAM66B","Chromatin Organization ","5/268","SMARCE1;HMGN4;DAXX;DEK;SPTY2D1",2.63912719528664e-05,0.00683533943579239,"GO:0006325"
"4833","FAM66C","cluster_000054","#825274","FAM66C","FAM66C","Protein Polyubiquitination ","5/226","RNF34;KBTBD6;MKRN1;UBE3B;KBTBD7",5.7211996555723e-05,0.011556823304256,"GO:0000209"
"4834","FAM66D","cluster_000213","#609560","FAM66D","FAM66D","Chromatin Organization ","5/268","SMARCE1;HMGN4;DAXX;DEK;SPTY2D1",2.63912719528664e-05,0.00683533943579239,"GO:0006325"
"4835","FAM71C","cluster_000682","#DF87B5","FAM71C","FAM71C","Positive Regulation Of Programmed Necrotic Cell Death ","1/5","IGF2BP1",0.00324605087508978,0.050623254310157,"GO:0062100"
"4836","FAM71E1","cluster_000322","#C3625E","FAM71E1","FAM71E1","Regulation Of Collateral Sprouting ","2/7","PTPRS;ULK2",2.64720697795306e-05,0.00497674911855175,"GO:0048670"
"4837","FAM71F1","cluster_000457","#FFEC2B","FAM71F1","FAM71F1","Regulation Of Transport ","2/44","CLDN10;REEP5",0.000876366632994734,0.0449123555906106,"GO:0051049"
"4838","FAM71F2","cluster_000142","#429680","FAM71F2","FAM71F2","Negative Regulation Of Epidermal Cell Differentiation ","2/6","HOXA7;GRHL2",3.25033372296956e-05,0.00374814428299506,"GO:0045605"
"4839","FAM76A","cluster_000005","#DC1E22","FAM76A","FAM76A","Chromatin Remodeling ","8/228","DR1;HDAC1;HP1BP3;MTF2;GLMN;ZBTB1;SMARCA5;MYSM1",4.77177147491703e-06,0.00228676564985312,"GO:0006338"
"4840","FAM76B","cluster_000044","#944763","FAM76B","FAM76B","Vitamin A Metabolic Process ","2/6","KDM5A;ARID4A",5.53015772757396e-05,0.0141572037825893,"GO:0006776"
"4841","FAM78A","cluster_000581","#B45D42","FAM78A","FAM78A","Regulation Of Glomerular Filtration ","2/5","PDGFB;F2RL1",6.78968474771753e-06,0.00212517132603559,"GO:0003093"
"4842","FAM78B","cluster_000431","#FFC91D","FAM78B","FAM78B","O-glycan Processing ","2/41","ST3GAL1;GALNT10",0.000761007610564979,0.0710662417719452,"GO:0016266"
"4843","FAM81A","cluster_000227","#6B876E","FAM81A","FAM81A","Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process ","3/83","RNF180;TRIB2;SMAD7",0.000167242631352187,0.0194839904821112,"GO:0032436"
"4844","FAM81B","cluster_000231","#6E8372","FAM81B","FAM81B","Negative Regulation Of Osteoblast Proliferation ","2/7","SFRP1;PLXNB1",3.39886991690106e-05,0.0104345306448862,"GO:0033689"
"4845","FAM83A","cluster_000046","#914966","FAM83A","FAM83A","Vitamin A Metabolic Process ","2/6","KDM5A;ARID4A",5.53015772757396e-05,0.0141572037825893,"GO:0006776"
"4846","FAM83B","cluster_000098","#377FB4","FAM83B","FAM83B","Histone H3-K4 Methylation ","3/26","KMT2D;SETD1B;KMT2B",9.43380782186472e-06,0.00253894493824843,"GO:0051568"
"4847","FAM83D","cluster_000137","#409386","FAM83D","FAM83D","Peptidyl-Tyrosine Phosphorylation ","3/67","ABI2;FLT3;CLK2",0.000136735290542393,0.0273470581084787,"GO:0018108"
"4848","FAM83F","cluster_000586","#B85F4A","FAM83F","FAM83F","Intracellular Water Homeostasis ","1/5","AQP4",0.00399394544865564,0.0460478952976225,"GO:0009992"
"4849","FAM83G","cluster_000565","#A65629","FAM83G","FAM83G","NAD Biosynthetic Process ","2/17","NAPRT;QPRT",9.1789656494553e-05,0.00963791393192806,"GO:0009435"
"4850","FAM83H","cluster_000447","#FFDF26","FAM83H","FAM83H","Neutrophil Degranulation ","1/5","STXBP2",0.00499044069595166,0.0629079443648236,"GO:0043312"
"4851","FAM86B1","cluster_000314","#BA5E6C","FAM86B1","FAM86B1","Regulation Of G2/M Transition Of Mitotic Cell Cycle ","3/35","CENPF;KIF14;CDK1",8.4878798984969e-06,0.00169757597969938,"GO:0010389"
"4852","FAM86B3P","cluster_000582","#B55E44","FAM86B3P","FAM86B3P","Regulation Of Glomerular Filtration ","2/5","PDGFB;F2RL1",6.78968474771753e-06,0.00212517132603559,"GO:0003093"
"4853","FAM86C1P","cluster_000157","#459E6F","FAM86C1P","FAM86C1P","Establishment Of Protein Localization To Mitochondrion ","4/44","TIMM13;TIMM17B;TIMM44;TIMM50",4.64748720081316e-07,0.000124087908261711,"GO:0072655"
"4854","FAM86C2P","cluster_000330","#CB6650","FAM86C2P","FAM86C2P","Oxidative Phosphorylation ","4/63","NDUFA9;NDUFA6;ATP5F1B;UQCRC2",7.56623874058933e-07,0.000131652554086254,"GO:0006119"
"4855","FAM86DP","cluster_000352","#E4722A","FAM86DP","FAM86DP","Negative Regulation Of T Cell Differentiation In Thymus ","1/5","TMEM131L",0.00548838944332051,0.0789086497116852,"GO:0033085"
"4856","FAM86EP","cluster_000157","#459E6F","FAM86EP","FAM86EP","Establishment Of Protein Localization To Mitochondrion ","4/44","TIMM13;TIMM17B;TIMM44;TIMM50",4.64748720081316e-07,0.000124087908261711,"GO:0072655"
"4857","FAM86FP","cluster_000048","#8D4C6A","FAM86FP","FAM86FP","Internal Peptidyl-Lysine Acetylation ","2/39","ATAT1;KAT2A",0.00249172839958229,0.146644693514301,"GO:0018393"
"4858","FAM86HP","cluster_000381","#FF8502","FAM86HP","FAM86HP","Negative Regulation Of Glycogen Biosynthetic Process ","1/5","PASK",0.00523943997247116,0.0990728165275384,"GO:0045719"
"4859","FAM86JP","cluster_000548","#B57329","FAM86JP","FAM86JP","Regulation Of Regulatory T Cell Differentiation ","3/22","TNFSF4;CTLA4;FOXP3",7.77644034453368e-07,0.000167193467407474,"GO:0045589"
"4860","FAM89A","cluster_000226","#6A886D","FAM89A","FAM89A","Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process ","3/83","RNF180;TRIB2;SMAD7",0.000167242631352187,0.0194839904821112,"GO:0032436"
"4861","FAM89B","cluster_000103","#3882AE","FAM89B","FAM89B","Organelle Membrane Fusion ","2/26","SYT11;STX6",0.000786913806034086,0.112461450856341,"GO:0090174"
"4862","FAM8A1","cluster_000210","#5D995E","FAM8A1","FAM8A1","Cilium Organization ","5/228","WDPCP;KIFAP3;CEP20;CEP290;CFAP20",1.21220315273821e-05,0.00220620973798354,"GO:0044782"
"4863","FAM90A1","cluster_000054","#825274","FAM90A1","FAM90A1","Protein Polyubiquitination ","5/226","RNF34;KBTBD6;MKRN1;UBE3B;KBTBD7",5.7211996555723e-05,0.011556823304256,"GO:0000209"
"4864","FAM91A1","cluster_000500","#E2C92F","FAM91A1","FAM91A1","Macroautophagy ","3/104","PLAA;VPS37A;YOD1",0.00012457269929357,0.0130322991855924,"GO:0016236"
"4865","FAM95A","cluster_000202","#57A156","FAM95A","FAM95A","Negative Regulation Of Amide Metabolic Process ","2/93","ZNF540;DAPK1",0.0069611911839573,0.114863748451268,"GO:0034249"
"4866","FAM95C","cluster_000464","#FFF62F","FAM95C","FAM95C","Inflammatory Response ","4/236","CSF1R;LOXL3;TLR6;NAIP",7.89242844839864e-05,0.0214674053796443,"GO:0006954"
"4867","FAM98A","cluster_000356","#E87423","FAM98A","FAM98A","Mitochondrial Outer Membrane Permeabilization ","1/7","RTL10",0.00767569624028282,0.166540652340798,"GO:0097345"
